
########################
###### TV-OSMOSIS ######
########################

experiment: 1
alpha blur: no
initial.  : u0 = f

###### PARAMETERS ######
-- model --
eta             : 0.50
mu              : 100.00
gamma           : 1.00
epsilon (huber) : 0.05
-- iPiano --
beta1           : 0.40
beta2           : 0.40
lambda1         : 2.00
lambda2         : 1.20
L1 (starting)   : 1.00
L2 (starting)   : 1.00
tol iPiano      : 1.00e-06
maxiter         : 10000
-- Primal-Dual --
tol PD          : 1.00e-04
maxiter PD      : 10000
-------------------------------------------------------------------------
   004   | (2.31e+00 | 7.41e+01) | 6.2213e+03 | 1.17e-02 | 9.69e-05 (49)
   005   | (1.93e+00 | 6.17e+01) | 6.1991e+03 | 3.57e-03 | 9.84e-05 (51)
   006   | (1.61e+00 | 5.14e+01) | 6.1838e+03 | 2.47e-03 | 9.63e-05 (54)
   007   | (1.34e+00 | 8.57e+01) | 6.1663e+03 | 2.83e-03 | 9.77e-05 (47)
   008   | (1.12e+00 | 2.86e+02) | 6.1509e+03 | 2.51e-03 | 9.96e-05 (32)
   009   | (9.30e-01 | 1.91e+03) | 6.1384e+03 | 2.03e-03 | 9.50e-05 (16)
   010   | (7.75e-01 | 6.35e+03) | 6.1282e+03 | 1.65e-03 | 8.26e-05 (11)
   011   | (6.46e-01 | 1.06e+04) | 6.1199e+03 | 1.36e-03 | 9.29e-05 (9)
   012   | (5.38e-01 | 3.53e+04) | 6.1130e+03 | 1.12e-03 | 7.08e-05 (7)
   013   | (4.49e-01 | 5.88e+04) | 6.1073e+03 | 9.34e-04 | 8.20e-05 (6)
   014   | (3.74e-01 | 1.96e+05) | 6.1025e+03 | 7.77e-04 | 6.66e-05 (5)
   015   | (3.12e-01 | 3.27e+05) | 6.0986e+03 | 6.46e-04 | 4.26e-05 (5)
   016   | (2.60e-01 | 5.44e+05) | 6.0953e+03 | 5.36e-04 | 2.72e-05 (5)
   017   | (2.16e-01 | 9.07e+05) | 6.0927e+03 | 4.31e-04 | 8.00e-05 (4)
